,Predicted Beta,Norms,Times
0,29.190198232387928,0.5692505702087025,21.218506574630737
1,31.41853776884932,0.8287010048688729,20.570873737335205
2,41.34534169214642,1.0667284530775891,21.090505361557007
3,26.96859987318494,0.6571885328834461,21.206162214279175
4,41.27063729762026,1.1712186543688423,25.380767107009888
5,35.49978493655448,1.106872118796025,21.573713064193726
6,33.17645908545394,0.8621005107669262,21.303377866744995
7,35.706556341643136,0.9304782102329421,21.709740161895752
8,41.26169644751269,1.101223785854284,21.371660947799683
9,42.926625341940984,1.24386696270864,21.416235208511353
10,36.077238584868944,0.9497877294319715,21.729883670806885
11,32.758457066005874,0.9248423984805142,21.413212060928345
12,38.33590446450223,1.0833515468251578,21.851879119873047
13,38.471160633943356,1.0681614580678864,23.402103662490845
14,40.96923895911167,1.2094986822086438,21.296040534973145
15,41.962902786355194,1.120869565354276,21.783552646636963
16,35.82061826555986,1.0257003068882757,23.210614919662476
17,35.382561603790734,0.9485495804174167,21.179685354232788
18,41.42529169543801,1.1941778731066859,21.075905084609985
19,39.6821243575306,1.2013352607474757,21.529608964920044
20,24.124165029135433,0.750992590058193,21.034582138061523
21,35.400172682238974,1.0658094604707866,20.973076105117798
22,33.094599004567606,0.9528904341358548,20.96729564666748
23,35.68578969762368,1.1215433097037923,20.990123987197876
24,36.160678115408004,0.9153574500970262,22.984182357788086
